product,quantity,unit_price,date,client,total,month
Mechanical pencil,34.0,224.39,2025-02-19,Mendez-Rodriguez,7629.26,2025-02
page flags,13.0,259.57,2024-09-19,Martinez PLC,3374.41,2024-09
Safety scissors,21.0,259.1,2024-07-07,Moore and Sons,5441.1,2024-07
Crayons or watercolor paints,16.0,111.29,2024-06-11,Simmons and Sons,1780.64,2024-06
3-ring binders,138.0,241.37,2025-05-07,Morales Group,33309.06,2025-05
Tissues,63.0,443.34,2025-05-07,Johnson-Lee,27930.42,2025-05
markers,81.0,266.77,2025-04-08,Bates-Holder,21608.37,2025-04
page flags,31.0,119.15,2024-11-19,"Green, Kirk and Wright",3693.65,2024-11
Sharpener,39.0,167.86,2025-01-20,"Castro, Campbell and Alvarado",6546.54,2025-01
Lunch box or bag,49.0,255.15,2024-09-10,"Collier, Gonzales and Coleman",12502.35,2024-09
3-ring binders,70.0,489.01,2024-07-29,"Blair, Nelson and Tran",34230.7,2024-07
Construction paper,110.0,47.23,2025-02-21,Webb and Sons,5195.3,2025-02
Lunch box or bag,72.0,451.45,2025-04-25,Sheppard Ltd,32504.4,2025-04
Graphing calculator,128.0,109.77,2025-04-12,Foley and Sons,14050.56,2025-04
USB flash drive,23.0,119.25,2025-04-08,Butler-Boyer,2742.75,2025-04
page flags,97.0,269.96,2025-04-27,"Price, Torres and Clark",26186.12,2025-04
3-ring binders,36.0,80.39,2024-12-10,"Harrison, Lee and Rodriguez",2894.04,2024-12
Crayons or watercolor paints,136.0,447.05,2024-05-29,"Smith, Cannon and Smith",60798.8,2024-05
Loose-leaf paper,39.0,474.13,2025-01-11,Norman and Sons,18491.07,2025-01
Blue pen,98.0,76.48,2025-04-20,Walter and Sons,7495.04,2025-04
Tablet,54.0,156.65,2025-04-15,Morgan and Sons,8459.1,2025-04
3-ring binders,120.0,31.62,2024-12-19,Jordan-Lang,3794.4,2024-12
Laptop,109.0,360.4,2025-03-22,Villa LLC,39283.6,2025-03
Protractor,109.0,345.26,2024-06-13,Stone-Harris,37633.34,2024-06
Colored pencils,55.0,445.77,2025-01-14,"Collins, Underwood and Glenn",24517.35,2025-01
Lined notebooks or composition books,64.0,72.92,2025-02-08,"Johnson, Friedman and Johnson",4666.88,2025-02
3-ring binders,23.0,178.54,2024-07-28,"Hall, Tanner and Norris",4106.42,2024-07
3-ring binders,107.0,157.35,2025-01-19,Edwards Inc,16836.45,2025-01
Red pen,57.0,316.16,2024-05-14,"Powell, Ford and Pratt",18021.12,2024-05
Graphing calculator,105.0,278.51,2024-06-05,"Barnes, James and Hammond",29243.55,2024-06
Crayons or watercolor paints,102.0,308.48,2024-08-29,"Huynh, Garcia and Clark",31464.96,2024-08
Black pen,35.0,314.51,2024-11-02,"Cross, Mcpherson and Mcbride",11007.85,2024-11
Backpack,110.0,478.79,2024-08-13,Jordan-Bruce,52666.9,2024-08
Lunch box or bag,123.0,331.81,2025-05-07,Mcdaniel LLC,40812.63,2025-05
Crayons or watercolor paints,29.0,389.93,2025-03-18,Jones-Johnson,11307.97,2025-03
page flags,54.0,141.46,2025-05-01,Adams Inc,7638.84,2025-05
Mechanical pencil,124.0,388.97,2024-08-23,"Wood, Fuller and Stafford",48232.28,2024-08
Lab notebook,55.0,457.02,2025-01-11,Stephens-Guerrero,25136.1,2025-01
#2 Pencil,41.0,238.13,2025-05-05,Gutierrez and Sons,9763.33,2025-05
Mechanical pencil,124.0,334.55,2024-10-19,Hall-Vazquez,41484.2,2024-10
Hand sanitizer,79.0,84.21,2025-02-28,Johnson-Guzman,6652.59,2025-02
Sharpener,32.0,479.11,2024-11-21,Campbell LLC,15331.52,2024-11
Red pen,60.0,82.64,2024-10-15,Roberts-Gordon,4958.4,2024-10
Black pen,47.0,93.63,2024-08-29,"Forbes, Ramirez and Freeman",4400.61,2024-08
USB flash drive,28.0,15.8,2025-04-05,"Arnold, Smith and Lopez",442.4,2025-04
Loose-leaf paper,28.0,306.59,2024-11-28,Rasmussen and Sons,8584.52,2024-11
Tablet,24.0,188.92,2024-11-04,Davies-Craig,4534.08,2024-11
Graph paper,112.0,341.87,2025-01-10,Yates-Sanchez,38289.44,2025-01
Lunch box or bag,67.0,132.01,2024-06-07,Griffin LLC,8844.67,2024-06
Backpack,127.0,308.1,2024-11-30,Stephens Inc,39128.7,2024-11
Hand sanitizer,57.0,134.63,2025-01-13,Parker Group,7673.91,2025-01
Mechanical pencil,72.0,251.44,2024-08-23,Jackson-Perkins,18103.68,2024-08
Sticky notes,51.0,268.38,2025-03-28,Lee-Garza,13687.38,2025-03
Water bottle,55.0,63.67,2024-07-23,"Parker, Jackson and Cantrell",3501.85,2024-07
Graphing calculator,120.0,118.7,2024-10-23,Moore PLC,14244.0,2024-10
Sticky notes,26.0,158.69,2025-03-11,Randall-Wallace,4125.94,2025-03
Headphones or earbuds,143.0,110.7,2024-12-21,Duran PLC,15830.1,2024-12
Protractor,69.0,133.35,2024-08-06,White Ltd,9201.15,2024-08
Scientific calculator,44.0,431.48,2024-08-28,Johnson-Hurley,18985.12,2024-08
Crayons or watercolor paints,52.0,419.65,2025-01-29,"Turner, Coleman and Brown",21821.8,2025-01
#2 Pencil,126.0,129.13,2024-05-29,"Mcintosh, Russell and Fisher",16270.38,2024-05
Clipboard,68.0,352.7,2025-01-04,Daniels-Reese,23983.6,2025-01
Clipboard,133.0,435.81,2025-03-08,"Johnson, Murphy and Hess",57962.73,2025-03
Lunch box or bag,69.0,314.92,2025-04-11,Keller Ltd,21729.48,2025-04
Black pen,107.0,375.44,2024-09-18,Hamilton Inc,40172.08,2024-09
Laptop,48.0,269.02,2024-06-09,Arias-Lopez,12912.96,2024-06
Mouse,116.0,127.77,2024-09-30,Jackson-Brown,14821.32,2024-09
Scientific calculator,93.0,463.69,2025-03-12,"Scott, Hernandez and Martinez",43123.17,2025-03
Laptop,63.0,163.91,2025-02-09,"Turner, Johnson and Andrade",10326.33,2025-02
Charger & extension cord,53.0,377.36,2025-03-31,"Lindsey, Frey and Patterson",20000.08,2025-03
Graphing calculator,82.0,328.93,2024-09-20,Reed LLC,26972.26,2024-09
Glue stick & liquid glue,59.0,274.5,2025-02-23,"Meyer, Carr and Thomas",16195.5,2025-02
Lab notebook,109.0,380.33,2025-01-05,Padilla PLC,41455.97,2025-01
Black pen,80.0,252.19,2025-03-28,Paul-Ware,20175.2,2025-03
Colored pencils,40.0,160.44,2024-11-11,"Kemp, Peterson and Lewis",6417.6,2024-11
Blue pen,80.0,489.11,2024-07-01,Coleman-Stark,39128.8,2024-07
Charger & extension cord,40.0,381.62,2024-08-22,"Greene, Carter and Coleman",15264.8,2024-08
Water bottle,122.0,200.28,2024-10-06,Edwards and Sons,24434.16,2024-10
Glue stick & liquid glue,28.0,476.81,2025-05-01,Clark LLC,13350.68,2025-05
Headphones or earbuds,13.0,363.15,2025-01-19,Chapman-Martin,4720.95,2025-01
Highlighter,33.0,25.15,2025-04-29,Mckinney PLC,829.95,2025-04
Crayons or watercolor paints,79.0,163.9,2024-10-20,"Mccarty, Brown and Barajas",12948.1,2024-10
Index cards,71.0,251.31,2025-03-08,"Davis, Brown and Williams",17843.01,2025-03
Ruler,122.0,41.9,2024-08-18,Brooks-Becker,5111.8,2024-08
USB flash drive,115.0,360.39,2024-11-09,Morton Inc,41444.85,2024-11
#2 Pencil,96.0,305.8,2025-01-18,"Walton, Snyder and Serrano",29356.8,2025-01
Mechanical pencil,30.0,436.57,2024-12-09,Brooks PLC,13097.1,2024-12
Index cards,125.0,315.61,2024-09-10,Baldwin-Carter,39451.25,2024-09
page flags,101.0,66.76,2024-08-16,"Rowe, Smith and Robinson",6742.76,2024-08
Pencil pouch,77.0,227.5,2024-12-26,"Long, Fowler and Williams",17517.5,2024-12
Laptop,27.0,471.98,2025-03-30,"Clark, Rice and Sanchez",12743.46,2025-03
Lunch box or bag,92.0,356.7,2024-12-22,"Cruz, Burns and Smith",32816.4,2024-12
Black pen,33.0,64.43,2024-09-03,Rodriguez Inc,2126.19,2024-09
Sticky notes,25.0,403.29,2024-08-30,Knapp and Sons,10082.25,2024-08
Loose-leaf paper,14.0,254.37,2025-01-15,Branch-Jones,3561.18,2025-01
Graphing calculator,100.0,456.48,2025-05-01,"Schmidt, Reyes and Ellison",45648.0,2025-05
Art sketchbook,50.0,157.83,2024-12-09,White LLC,7891.5,2024-12
Laptop,95.0,413.97,2025-03-12,Garrett-Padilla,39327.15,2025-03
Lab notebook,107.0,344.87,2024-08-09,"Mcdonald, Parsons and Douglas",36901.09,2024-08
USB flash drive,136.0,415.31,2024-06-25,Crawford and Sons,56482.16,2024-06
Lab notebook,132.0,84.33,2024-10-31,Young-Ball,11131.56,2024-10
#2 Pencil,119.0,190.7,2024-11-23,Haynes-Edwards,22693.3,2024-11
Hand sanitizer,52.0,187.51,2024-06-17,"Griffin, Lara and Jones",9750.52,2024-06
Lunch box or bag,62.0,467.19,2025-02-25,Sullivan-Cooper,28965.78,2025-02
Tissues,20.0,448.17,2024-05-15,Rose-Miller,8963.4,2024-05
Index cards,105.0,216.51,2025-01-12,Lee-Robinson,22733.55,2025-01
Erasers,70.0,192.94,2025-03-04,Bridges Inc,13505.8,2025-03
Ruler,119.0,136.22,2025-03-03,Buck-Kim,16210.18,2025-03
Tablet,42.0,216.18,2024-11-01,White-Martin,9079.56,2024-11
Ruler,134.0,233.51,2025-01-13,Christensen LLC,31290.34,2025-01
Safety scissors,88.0,341.34,2024-11-05,"Klein, Nunez and Garcia",30037.92,2024-11
3-ring binders,120.0,452.22,2024-12-09,"Kirby, Nichols and Clarke",54266.4,2024-12
Water bottle,128.0,96.2,2025-05-08,Fields LLC,12313.6,2025-05
Water bottle,43.0,329.67,2024-08-09,Jefferson-Simmons,14175.81,2024-08
Black pen,103.0,271.63,2024-05-18,Collins LLC,27977.89,2024-05
Dividers with tabs,33.0,344.35,2025-04-29,Wheeler-Owens,11363.55,2025-04
Glue stick & liquid glue,79.0,107.67,2025-05-03,"Reese, Burnett and Harris",8505.93,2025-05
Safety scissors,30.0,134.41,2024-11-29,Kirk LLC,4032.3,2024-11
Scientific calculator,87.0,32.5,2024-10-17,"Moore, Chase and Harris",2827.5,2024-10
Headphones or earbuds,72.0,394.14,2024-10-12,"Pierce, Bright and Peterson",28378.08,2024-10
Lunch box or bag,23.0,474.19,2025-05-01,Yates-Crawford,10906.37,2025-05
Glue stick & liquid glue,142.0,432.81,2024-09-02,"Cook, Simmons and Williamson",61459.02,2024-09
Colored pencils,64.0,395.21,2024-09-16,"Burton, Fletcher and Ward",25293.44,2024-09
Safety scissors,76.0,463.82,2025-02-18,"Sparks, Thornton and Miller",35250.32,2025-02
Scientific calculator,107.0,373.0,2024-11-30,Gilbert-Garrett,39911.0,2024-11
Mechanical pencil,71.0,268.49,2024-09-01,"Estrada, Jackson and Perry",19062.79,2024-09
markers,81.0,279.52,2024-07-09,Hernandez-Farmer,22641.12,2024-07
Colored pencils,96.0,367.35,2025-02-13,Stanley-Bailey,35265.6,2025-02
Highlighter,129.0,28.67,2024-09-29,"Cox, Ball and Ponce",3698.43,2024-09
Scientific calculator,140.0,374.09,2024-07-09,Leonard-Mcfarland,52372.6,2024-07
Laptop,27.0,73.08,2024-05-15,Mendoza-Bennett,1973.16,2024-05
Laptop,21.0,428.46,2024-06-26,Weaver-Schneider,8997.66,2024-06
Mouse,118.0,70.56,2025-04-06,Morris PLC,8326.08,2025-04
Erasers,97.0,275.45,2025-01-21,Miller PLC,26718.65,2025-01
page flags,121.0,126.09,2024-11-04,"Logan, Ward and Whitney",15256.89,2024-11
Art sketchbook,127.0,124.9,2025-01-16,Gutierrez Inc,15862.3,2025-01
Mouse,19.0,216.81,2025-02-02,Nelson-Bridges,4119.39,2025-02
Ruler,134.0,252.14,2025-04-18,Carr-Johnson,33786.76,2025-04
Loose-leaf paper,72.0,404.7,2024-05-26,Garrett Inc,29138.4,2024-05
Red pen,102.0,194.88,2024-06-27,Sanchez Group,19877.76,2024-06
Lab notebook,25.0,138.99,2024-12-02,"Beck, Chavez and Fisher",3474.75,2024-12
markers,19.0,140.35,2025-02-11,"Shaw, Lucas and Johnson",2666.65,2025-02
Clipboard,18.0,128.09,2024-07-12,Perry-Johnson,2305.62,2024-07
Water bottle,116.0,91.73,2025-03-14,"Moran, Myers and Ward",10640.68,2025-03
page flags,88.0,141.12,2024-07-29,Christian-Davis,12418.56,2024-07
Laptop,116.0,64.29,2025-03-07,Price Ltd,7457.64,2025-03
Black pen,31.0,255.8,2024-07-29,Kirk-Harper,7929.8,2024-07
Index cards,142.0,37.22,2024-12-21,Stephenson-Johnson,5285.24,2024-12
Blue pen,26.0,444.97,2025-03-20,Walker-Kaiser,11569.22,2025-03
Safety scissors,60.0,266.39,2024-05-17,Mcdaniel and Sons,15983.4,2024-05
USB flash drive,121.0,462.19,2025-02-19,"Lopez, Butler and Williams",55924.99,2025-02
Sharpener,73.0,115.56,2024-12-03,Brown-Hernandez,8435.88,2024-12
Mouse,98.0,174.57,2024-09-26,"Howell, Coffey and Martinez",17107.86,2024-09
Glue stick & liquid glue,119.0,320.01,2025-02-13,Payne Ltd,38081.19,2025-02
Water bottle,43.0,375.39,2025-01-21,"Keller, Hayden and Rodriguez",16141.77,2025-01
Blue pen,17.0,300.13,2025-04-04,Adams-Cruz,5102.21,2025-04
Tissues,60.0,431.39,2025-02-26,Smith PLC,25883.4,2025-02
Tissues,120.0,18.3,2025-04-18,Jackson-White,2196.0,2025-04
Pencil pouch,12.0,388.46,2025-01-31,"Brown, Evans and Schmidt",4661.52,2025-01
Mouse,126.0,16.74,2024-07-03,"Reyes, Johnston and Riley",2109.24,2024-07
Compass,50.0,438.18,2025-01-30,Frank Inc,21909.0,2025-01
Tablet,68.0,272.39,2024-06-02,Barker and Sons,18522.52,2024-06
Scientific calculator,120.0,416.7,2024-12-31,"Berry, Santana and Garrett",50004.0,2024-12
Index cards,110.0,198.98,2025-03-02,Myers-Ballard,21887.8,2025-03
Scientific calculator,132.0,281.69,2025-02-02,Hill Group,37183.08,2025-02
Red pen,84.0,96.31,2025-04-02,Williams PLC,8090.04,2025-04
page flags,121.0,99.85,2024-12-18,Davis Ltd,12081.85,2024-12
Pencil case,78.0,419.52,2024-06-22,Kirby Group,32722.56,2024-06
Scientific calculator,141.0,302.85,2024-10-15,Jackson-Wilson,42701.85,2024-10
Colored pencils,110.0,348.07,2025-04-05,"Austin, Rogers and Randall",38287.7,2025-04
Dividers with tabs,21.0,307.59,2024-11-13,Gregory-Cuevas,6459.39,2024-11
Folder,59.0,495.15,2024-12-08,Williams Group,29213.85,2024-12
Tablet,76.0,283.51,2024-10-17,King-Bullock,21546.76,2024-10
page flags,23.0,68.66,2024-05-20,Wong-Young,1579.18,2024-05
Crayons or watercolor paints,55.0,486.14,2024-11-23,"Livingston, Gomez and Thompson",26737.7,2024-11
Tissues,82.0,462.41,2025-01-12,Curry PLC,37917.62,2025-01
Mechanical pencil,87.0,268.61,2024-10-11,Davis LLC,23369.07,2024-10
Headphones or earbuds,124.0,434.8,2025-02-07,Allen-Mcclain,53915.2,2025-02
Tissues,31.0,192.01,2024-06-08,Hayes-Jackson,5952.31,2024-06
markers,67.0,354.38,2025-03-10,"Villanueva, Moore and Cruz",23743.46,2025-03
markers,58.0,132.1,2025-02-15,"Tate, Walker and Vaughn",7661.8,2025-02
Crayons or watercolor paints,52.0,117.41,2025-03-22,Tyler-Simmons,6105.32,2025-03
Graph paper,64.0,302.27,2024-10-31,"Zimmerman, Miller and Webb",19345.28,2024-10
Highlighter,71.0,51.69,2025-01-12,Edwards-Powell,3669.99,2025-01
Mouse,120.0,425.98,2025-02-28,Peterson-Garcia,51117.6,2025-02
markers,79.0,414.56,2024-10-11,Villarreal LLC,32750.24,2024-10
Scientific calculator,99.0,426.47,2025-04-02,"Flynn, Wheeler and Wright",42220.53,2025-04
Charger & extension cord,58.0,456.71,2024-06-13,Nguyen-Smith,26489.18,2024-06
Headphones or earbuds,144.0,268.66,2025-03-10,Goodwin and Sons,38687.04,2025-03
Charger & extension cord,82.0,447.35,2024-12-16,"Cordova, Gonzalez and Wilson",36682.7,2024-12
Safety scissors,63.0,101.93,2024-11-21,Richardson and Sons,6421.59,2024-11
Dividers with tabs,62.0,126.85,2025-03-04,"George, Allen and Johnson",7864.7,2025-03
Crayons or watercolor paints,39.0,344.41,2024-12-21,Peterson-Norris,13431.99,2024-12
Crayons or watercolor paints,63.0,399.48,2024-08-04,"Brown, Chavez and Thomas",25167.24,2024-08
Tissues,49.0,476.27,2024-09-25,"Sanders, Roman and Brown",23337.23,2024-09
Backpack,125.0,307.59,2024-05-24,Jennings Inc,38448.75,2024-05
Sticky notes,118.0,164.03,2024-10-04,Cantrell-Davis,19355.54,2024-10
Folder,105.0,178.92,2024-07-01,Daniels-Hart,18786.6,2024-07
Construction paper,113.0,99.8,2024-12-17,"Wade, Smith and Miller",11277.4,2024-12
Protractor,59.0,158.41,2024-08-02,Evans-Rivera,9346.19,2024-08
markers,69.0,38.02,2024-10-29,"Murray, Stevenson and Smith",2623.38,2024-10
Sticky notes,144.0,20.42,2025-04-15,Cox-Sharp,2940.48,2025-04
Pencil case,84.0,221.33,2024-08-24,Francis and Sons,18591.72,2024-08
Folder,113.0,206.56,2024-09-13,Richardson-Evans,23341.28,2024-09
Lunch box or bag,129.0,399.3,2025-01-11,Johnson Inc,51509.7,2025-01
Tissues,106.0,268.32,2025-03-10,Zavala-Evans,28441.92,2025-03
Water bottle,87.0,135.03,2024-12-31,Morrison LLC,11747.61,2024-12
Tissues,81.0,244.53,2025-02-05,"Dean, Hall and Glover",19806.93,2025-02
Lab notebook,48.0,311.05,2025-01-15,Lyons and Sons,14930.4,2025-01
Clipboard,140.0,409.79,2024-08-06,"Harris, Benson and Stevenson",57370.6,2024-08
Colored pencils,88.0,474.86,2025-02-15,Porter PLC,41787.68,2025-02
Crayons or watercolor paints,76.0,332.33,2025-04-22,"Christensen, Reyes and Huber",25257.08,2025-04
Erasers,97.0,461.61,2025-03-14,"Wright, Bishop and Lee",44776.17,2025-03
Compass,39.0,329.68,2024-09-04,Hill-Mathis,12857.52,2024-09
page flags,115.0,237.39,2024-06-23,Norris-Nash,27299.85,2024-06
Erasers,30.0,471.84,2024-09-18,"Barber, Adams and Bell",14155.2,2024-09
Loose-leaf paper,93.0,198.92,2024-05-23,Snyder Ltd,18499.56,2024-05
markers,45.0,195.1,2024-08-19,Harvey Inc,8779.5,2024-08
Scientific calculator,31.0,384.97,2025-04-03,"Parks, Rowe and Lopez",11934.07,2025-04
Mouse,70.0,447.61,2024-10-12,Bryan PLC,31332.7,2024-10
